batch_id,model_key,condition_id,state_variant,prompt_template,rule_location,rule_wording_variant,parameter_order_id,parameter_name_variant,parameter_description_variant,tool_name_variant,context_id,baseline_c,word,records,errors,abstentions,tool_call_rate,c_present_rate,threshold_valid_rate,equality_valid_rate,schema_valid_all_rate,strict_only_c_rate,median_c_output,mean_c_output,median_delta_c,mean_sibling_change_l1
experiment_j_exact_instruction_control_v1,gemma4-12b,no_rule,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.1,0.0
experiment_j_exact_instruction_control_v1,gemma4-12b,no_rule,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.45,0.45,0.1,0.0
experiment_j_exact_instruction_control_v1,gemma4-12b,no_rule,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.15,0.0
experiment_j_exact_instruction_control_v1,gemma4-12b,no_rule,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.05,0.0
experiment_j_exact_instruction_control_v1,gemma4-12b,threshold_gte_1,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.1,0.0
experiment_j_exact_instruction_control_v1,gemma4-12b,threshold_gte_1,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.45,0.45,0.1,0.0
experiment_j_exact_instruction_control_v1,gemma4-12b,threshold_gte_1,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.15,0.0
experiment_j_exact_instruction_control_v1,gemma4-12b,threshold_gte_1,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.05,0.0
experiment_j_exact_instruction_control_v1,llama3-8b,no_rule,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.1,0.0
experiment_j_exact_instruction_control_v1,llama3-8b,no_rule,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.45,0.45,0.1,0.0
experiment_j_exact_instruction_control_v1,llama3-8b,no_rule,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.15,0.0
experiment_j_exact_instruction_control_v1,llama3-8b,no_rule,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.05,0.0
experiment_j_exact_instruction_control_v1,llama3-8b,threshold_gte_1,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.1,0.0
experiment_j_exact_instruction_control_v1,llama3-8b,threshold_gte_1,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.45,0.45,0.1,0.0
experiment_j_exact_instruction_control_v1,llama3-8b,threshold_gte_1,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.15,0.0
experiment_j_exact_instruction_control_v1,llama3-8b,threshold_gte_1,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.05,0.0
experiment_j_exact_instruction_control_v1,qwen3-8b,no_rule,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.1,0.0
experiment_j_exact_instruction_control_v1,qwen3-8b,no_rule,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.45,0.45,0.1,0.0
experiment_j_exact_instruction_control_v1,qwen3-8b,no_rule,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.15,0.0
experiment_j_exact_instruction_control_v1,qwen3-8b,no_rule,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.05,0.0
experiment_j_exact_instruction_control_v1,qwen3-8b,threshold_gte_1,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.1,0.0
experiment_j_exact_instruction_control_v1,qwen3-8b,threshold_gte_1,prompt_state_required,exact_increase_c_by_0_10,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.45,0.45,0.1,0.0
experiment_j_exact_instruction_control_v1,qwen3-8b,threshold_gte_1,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.15,0.0
experiment_j_exact_instruction_control_v1,qwen3-8b,threshold_gte_1,prompt_state_required,exact_set_c_0_40,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.35,,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.4,0.05,0.0
