batch_id,model_key,condition_id,state_variant,prompt_template,rule_location,rule_wording_variant,parameter_order_id,parameter_name_variant,parameter_description_variant,tool_name_variant,context_id,baseline_c,word,records,errors,abstentions,tool_call_rate,c_present_rate,threshold_valid_rate,equality_valid_rate,schema_valid_all_rate,strict_only_c_rate,median_c_output,mean_c_output,median_delta_c,mean_sibling_change_l1
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.25,,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.25,drastically,1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,10.0,10.0,9.75,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.25,moderately,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.25,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.26,0.26,0.01,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.35,,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.05,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.35,drastically,1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,10.0,10.0,9.65,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.35,moderately,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.05,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.35,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.36,0.36,0.01,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.5,,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.1,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.5,drastically,1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,10.0,10.0,9.5,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.5,moderately,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.1,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_00_00,0.5,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.51,0.51,0.01,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,drastically,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.099,0.099,-0.151,0.6435
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,moderately,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.3,0.3,0.05,0.0
experiment_b_independent_baseline_v1,gemma4-12b,no_rule,prompt_state_required,with_baseline_only_change_c,tool_description,default,abc,canonical_abc,none,neutral,ab_50_15,0.25,slightly,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.26,0.26,0.01,0.0
