experiment,model,signal,value,read_as
Clean 1,gemma4-12b,With total requirement minus without requirement,0.0,Positive means the written total requirement increases valid totals.
Clean 1,llama3-8b,With total requirement minus without requirement,0.01845751633986925,Positive means the written total requirement increases valid totals.
Clean 1,qwen3-8b,With total requirement minus without requirement,0.2632438446294637,Positive means the written total requirement increases valid totals.
Clean 2,gemma4-12b,Median c at .61 floor minus median c at .31 floor,0.31000000000000005,Positive means c rises as the required minimum rises.
Clean 2,llama3-8b,Median c at .61 floor minus median c at .31 floor,0.3,Positive means c rises as the required minimum rises.
Clean 2,qwen3-8b,Median c at .61 floor minus median c at .31 floor,0.19499999999999995,Positive means c rises as the required minimum rises.
Clean 3,gemma4-12b,Prompt-floor rate minus schema-floor rate,-0.07142857142857145,Positive leans prompt-visible values; negative leans tool schema ranges.
Clean 3,llama3-8b,Prompt-floor rate minus schema-floor rate,-0.12925925925925924,Positive leans prompt-visible values; negative leans tool schema ranges.
Clean 3,qwen3-8b,Prompt-floor rate minus schema-floor rate,0.0662962962962963,Positive leans prompt-visible values; negative leans tool schema ranges.
Clean 4,gemma4-12b,Near-.39 rate with tight ranges+total minus tight ranges alone,0.0,"Positive means .39 is tied to the total requirement, not just tight ranges."
Clean 4,llama3-8b,Near-.39 rate with tight ranges+total minus tight ranges alone,0.0,"Positive means .39 is tied to the total requirement, not just tight ranges."
Clean 4,qwen3-8b,Near-.39 rate with tight ranges+total minus tight ranges alone,1.0,"Positive means .39 is tied to the total requirement, not just tight ranges."
Clean 5,gemma4-12b,Tool-description-only valid rate minus neither-place valid rate,0.0,Positive means tool-description placement matters.
Clean 5,llama3-8b,Tool-description-only valid rate minus neither-place valid rate,0.0,Positive means tool-description placement matters.
